startup,sector,subsector,city,investor,investmenttype,amountinusd,date
Henderson-Hill,Logistics,Logistics Services,Noida,Investor_61,Series D+,2233641.99,2017-06-15
Parks Group,SaaS,SaaS Services,Pune,"Investor_36, Investor_46, Investor_16",Series B,157411.65,2005-07-10
"Bentley, Hunt and Carroll",CleanTech,CleanTech Services,Mumbai,"Investor_8, Investor_11",Series A,528156.72,2013-06-20
Green-Joyce,FoodTech,FoodTech Services,Pune,"Investor_21, Investor_53",Series C,10995021.69,2004-05-17
"Ruiz, Cain and Kelley",E-Commerce,E-Commerce Services,Hyderabad,"Investor_79, Investor_100",Series A,833160.63,2004-10-01
"Wallace, Clark and Rangel",SaaS,SaaS Services,Delhi,"Investor_64, Investor_28, Investor_4",Pre-Seed,912840.95,2021-05-02
"Peterson, Wolfe and Caldwell",AI/ML,AI/ML Services,Pune,"Investor_54, Investor_52",Seed,7084055.15,2022-11-28
Jackson and Sons,CleanTech,CleanTech Services,Hyderabad,"Investor_77, Investor_92",Series C,516441.58,2015-03-11
Baker-Casey,AI/ML,AI/ML Services,Chennai,"Investor_44, Investor_57, Investor_91",Seed,1325196.46,2022-09-11
"Mckenzie, Williams and Smith",SaaS,SaaS Services,Mumbai,"Investor_98, Investor_74, Investor_19",Seed,28114146.83,2013-12-19
Smith-Lopez,HealthTech,HealthTech Services,Noida,"Investor_51, Investor_26",Series B,380097.41,2003-02-21
Robinson Group,FoodTech,FoodTech Services,Noida,"Investor_23, Investor_68, Investor_83",Pre-Seed,2620527.07,2009-10-17
King-Thompson,E-Commerce,E-Commerce Services,Ahmedabad,"Investor_3, Investor_84",Series C,1142313.82,2003-01-06
Garcia-Reyes,E-Commerce,E-Commerce Services,Noida,"Investor_20, Investor_35",Seed,197089.53,2004-09-11
Green-Davis,E-Commerce,E-Commerce Services,Delhi,"Investor_29, Investor_55, Investor_47",Series B,3504924.72,2003-10-10
"Wood, Nunez and Martinez",E-Commerce,E-Commerce Services,Kolkata,"Investor_71, Investor_66",Series D+,1236186.92,2007-03-09
"Osborn, Frazier and Hayes",E-Commerce,E-Commerce Services,Gurgaon,Investor_43,Pre-Seed,634312.38,2021-12-25
Preston and Sons,AI/ML,AI/ML Services,Kolkata,"Investor_89, Investor_4",Series A,35967699.1,2014-08-16
Riley-Wright,Logistics,Logistics Services,Gurgaon,"Investor_48, Investor_43",Series A,142239.86,2022-09-08
Smith-Hoffman,HealthTech,HealthTech Services,Ahmedabad,Investor_93,Pre-Seed,143057.51,2009-09-23
Chambers Ltd,FoodTech,FoodTech Services,Gurgaon,"Investor_60, Investor_42",Series D+,2348293.13,2007-07-28
Garcia Group,AgriTech,AgriTech Services,Chennai,"Investor_44, Investor_57",Series B,1839141.72,2014-06-04
Short Group,FoodTech,FoodTech Services,Pune,Investor_59,Series D+,823471.69,2016-06-27
Cruz Group,FinTech,FinTech Services,Kolkata,"Investor_80, Investor_99, Investor_22",Series C,18233.11,2013-06-04
Tucker Inc,FinTech,FinTech Services,Noida,"Investor_35, Investor_84",Series A,4967026.1,2013-12-12
Thompson-Campbell,HealthTech,HealthTech Services,Bengaluru,"Investor_6, Investor_54, Investor_47",Series B,1633559.21,2017-08-11
Ross Group,Logistics,Logistics Services,Noida,Investor_11,Series C,910684.51,2018-05-06
"Turner, Ashley and Carroll",SaaS,SaaS Services,Hyderabad,Investor_13,Seed,627331.37,2020-03-04
Knight Ltd,SaaS,SaaS Services,Gurgaon,"Investor_42, Investor_86, Investor_81",Series A,770643.62,2014-03-27
"Neal, Young and Lawson",HealthTech,HealthTech Services,Gurgaon,Investor_83,Series A,797372.47,2006-02-22
Li-Welch,E-Commerce,E-Commerce Services,Kolkata,"Investor_5, Investor_87",Pre-Seed,6012771.8,2011-04-22
Jordan Group,CleanTech,CleanTech Services,Chennai,"Investor_61, Investor_21, Investor_81",Series C,245687.91,2020-03-04
Bennett Group,AgriTech,AgriTech Services,Kolkata,Investor_93,Series D+,1093395.27,2020-05-23
Ramirez Ltd,Logistics,Logistics Services,Bengaluru,"Investor_71, Investor_78, Investor_12",Series C,184442.99,2005-02-08
King Inc,SaaS,SaaS Services,Mumbai,"Investor_40, Investor_19, Investor_10",Series B,291728.34,2011-03-11
Hodge-Lam,Logistics,Logistics Services,Noida,Investor_39,Series C,1176771.61,2015-01-07
"Olsen, Webb and Flores",FoodTech,FoodTech Services,Pune,"Investor_16, Investor_75, Investor_82",Series B,917021.08,2007-04-03
Davis-Williams,AgriTech,AgriTech Services,Ahmedabad,"Investor_71, Investor_42, Investor_12",Series A,964046.34,2019-03-18
"Tyler, Miller and Johnson",SaaS,SaaS Services,Gurgaon,"Investor_21, Investor_34, Investor_55",Seed,31804160.07,2021-06-03
"Freeman, Crosby and Richardson",AI/ML,AI/ML Services,Gurgaon,"Investor_61, Investor_81, Investor_89",Seed,6777102.15,2004-10-08
"Rodriguez, Harmon and Carter",SaaS,SaaS Services,Delhi,"Investor_25, Investor_8, Investor_85",Series C,2180336.68,2015-01-04
Garcia and Sons,FinTech,FinTech Services,Delhi,"Investor_33, Investor_27",Series A,517111.35,2021-02-18
"Lyons, Mcdowell and Lewis",SaaS,SaaS Services,Bengaluru,"Investor_77, Investor_94",Pre-Seed,2018883.85,2013-02-04
"Rogers, Holmes and Garcia",Logistics,Logistics Services,Bengaluru,"Investor_51, Investor_87, Investor_61",Series D+,109855.89,2009-09-15
Robertson Group,FinTech,FinTech Services,Hyderabad,"Investor_67, Investor_40, Investor_47",Series D+,3327321.16,2004-12-09
Lewis-Davis,FoodTech,FoodTech Services,Noida,"Investor_67, Investor_68, Investor_10",Series C,12832930.78,2004-05-03
Beltran-Davis,HealthTech,HealthTech Services,Delhi,"Investor_62, Investor_77",Pre-Seed,10698860.67,2004-03-08
Stewart Group,CleanTech,CleanTech Services,Chennai,"Investor_54, Investor_97, Investor_35",Seed,634632.62,2016-03-04
Villarreal-Smith,SaaS,SaaS Services,Mumbai,Investor_38,Series B,1525939.35,2020-07-11
Jones-Cruz,AgriTech,AgriTech Services,Chennai,"Investor_82, Investor_45, Investor_35",Series B,622891.01,2019-03-01
Green-Brown,FinTech,FinTech Services,Bengaluru,"Investor_34, Investor_13",Series C,399599.44,2003-11-03
Peterson PLC,Logistics,Logistics Services,Hyderabad,Investor_87,Series D+,798951.11,2009-10-10
Harris-Howe,SaaS,SaaS Services,Delhi,"Investor_59, Investor_43, Investor_92",Series B,1660184.73,2011-06-10
Marshall-Sutton,SaaS,SaaS Services,Kolkata,Investor_86,Pre-Seed,2400782.73,2008-10-24
Bell-Smith,CleanTech,CleanTech Services,Hyderabad,Investor_25,Series D+,693762.19,2020-02-24
"Mcfarland, Bell and Martinez",SaaS,SaaS Services,Kolkata,"Investor_3, Investor_57, Investor_94",Series B,941193.58,2017-09-16
"West, Rodgers and Griffin",AI/ML,AI/ML Services,Hyderabad,"Investor_86, Investor_74",Seed,3592018.54,2012-03-10
"Case, Hooper and Shaffer",Logistics,Logistics Services,Delhi,"Investor_64, Investor_18, Investor_98",Seed,339094.8,2022-07-17
"Vega, Cole and Moreno",E-Commerce,E-Commerce Services,Pune,"Investor_90, Investor_13, Investor_77",Series B,1898739.66,2019-12-25
Hanson Ltd,SaaS,SaaS Services,Gurgaon,"Investor_100, Investor_29, Investor_94",Series A,322364.64,2006-06-14
Love Group,FinTech,FinTech Services,Chennai,"Investor_25, Investor_39",Series C,861456.71,2022-06-04
Marquez Inc,SaaS,SaaS Services,Kolkata,"Investor_62, Investor_45, Investor_27",Series B,256287.01,2020-05-05
Osborne LLC,FoodTech,FoodTech Services,Ahmedabad,Investor_52,Series B,902934.6,2022-08-02
Webb LLC,SaaS,SaaS Services,Ahmedabad,"Investor_8, Investor_58, Investor_92",Seed,1747721.77,2015-10-08
Gentry PLC,CleanTech,CleanTech Services,Bengaluru,"Investor_18, Investor_75",Series A,587709.09,2004-05-16
Martin-Berg,FoodTech,FoodTech Services,Noida,"Investor_97, Investor_87, Investor_95",Series D+,507428.69,2004-06-11
"Gray, Hooper and Massey",AgriTech,AgriTech Services,Gurgaon,Investor_76,Series B,1404054.98,2003-09-23
Nash-Lang,AI/ML,AI/ML Services,Ahmedabad,"Investor_96, Investor_66",Series A,29896005.88,2022-10-16
Hayes PLC,E-Commerce,E-Commerce Services,Gurgaon,"Investor_25, Investor_41, Investor_5",Series A,1863689.44,2019-06-23
Reed and Sons,Logistics,Logistics Services,Noida,"Investor_72, Investor_77",Series C,763735.35,2015-02-20
"Wells, Ortiz and Jenkins",CleanTech,CleanTech Services,Bengaluru,Investor_37,Series B,216904.37,2005-12-03
Walker PLC,AgriTech,AgriTech Services,Delhi,"Investor_85, Investor_75, Investor_5",Series C,11176668.37,2020-08-19
Bradshaw-Hudson,SaaS,SaaS Services,Ahmedabad,"Investor_37, Investor_47",Pre-Seed,6183949.45,2010-06-06
Lamb-Webb,HealthTech,HealthTech Services,Gurgaon,"Investor_95, Investor_44, Investor_18",Seed,301446.27,2017-08-07
Martinez-Grant,AI/ML,AI/ML Services,Bengaluru,Investor_18,Series C,1756171.8,2014-11-02
Wilson Group,AI/ML,AI/ML Services,Ahmedabad,"Investor_23, Investor_38, Investor_73",Seed,2179530.15,2004-10-14
Myers-Dean,EdTech,EdTech Services,Ahmedabad,Investor_36,Series B,769389.81,2021-08-09
Rice Group,E-Commerce,E-Commerce Services,Mumbai,"Investor_66, Investor_25, Investor_90",Series D+,1512819.84,2018-09-08
Jones-Turner,EdTech,EdTech Services,Hyderabad,"Investor_24, Investor_90, Investor_84",Series D+,1862602.01,2013-02-11
Morgan-Franklin,CleanTech,CleanTech Services,Hyderabad,"Investor_34, Investor_82, Investor_5",Series D+,5592815.02,2016-08-26
"Brown, Evans and Roberts",FinTech,FinTech Services,Noida,"Investor_26, Investor_22",Series D+,8383683.57,2007-09-06
Gordon-Wiley,SaaS,SaaS Services,Chennai,Investor_93,Series D+,15580286.88,2018-12-17
Arroyo Ltd,AgriTech,AgriTech Services,Kolkata,Investor_1,Series A,4146217.79,2017-01-10
Estrada-Brown,E-Commerce,E-Commerce Services,Bengaluru,"Investor_55, Investor_85, Investor_82",Series B,84074.69,2019-03-17
Rogers-Mathews,EdTech,EdTech Services,Noida,"Investor_59, Investor_38, Investor_22",Series B,1643582.55,2011-10-07
"May, Brown and Rogers",FinTech,FinTech Services,Bengaluru,"Investor_37, Investor_14, Investor_62",Series B,766793.65,2017-07-24
"Bradley, Smith and Nichols",AI/ML,AI/ML Services,Gurgaon,"Investor_2, Investor_89, Investor_37",Series D+,5712910.19,2003-06-18
Nichols Inc,CleanTech,CleanTech Services,Mumbai,"Investor_12, Investor_40",Series D+,480209.58,2005-06-20
Perry Group,E-Commerce,E-Commerce Services,Noida,"Investor_74, Investor_28, Investor_94",Series C,9582215.25,2014-05-02
Rivera LLC,SaaS,SaaS Services,Mumbai,"Investor_48, Investor_75",Series A,438057.13,2015-05-11
Russell LLC,HealthTech,HealthTech Services,Ahmedabad,"Investor_83, Investor_40, Investor_13",Pre-Seed,7025348.39,2016-04-27
"Lee, Smith and Harvey",Logistics,Logistics Services,Bengaluru,Investor_71,Series B,2551326.51,2005-09-10
"Patel, Morrison and Sanchez",FinTech,FinTech Services,Noida,"Investor_44, Investor_37, Investor_25",Series C,348726.55,2016-01-11
Reid-Patel,FinTech,FinTech Services,Kolkata,Investor_96,Seed,752602.23,2009-03-12
"Nguyen, Davila and Williams",FoodTech,FoodTech Services,Mumbai,Investor_87,Series A,410045.32,2012-03-18
Erickson-Haney,Logistics,Logistics Services,Mumbai,Investor_39,Pre-Seed,2397104.18,2003-11-27
Jones Inc,SaaS,SaaS Services,Gurgaon,"Investor_4, Investor_73",Series B,760046.73,2021-08-24
Wang PLC,FinTech,FinTech Services,Delhi,"Investor_1, Investor_68",Pre-Seed,1230546.31,2003-04-19
Gonzalez LLC,AI/ML,AI/ML Services,Chennai,"Investor_87, Investor_76",Series B,52547.82,2016-12-23
Lee Inc,SaaS,SaaS Services,Mumbai,"Investor_45, Investor_88",Pre-Seed,256701.25,2010-09-24
"Flores, Lopez and Martin",AgriTech,AgriTech Services,Bengaluru,Investor_80,Series B,2276648.24,2018-09-17
Cobb-Rogers,SaaS,SaaS Services,Kolkata,"Investor_19, Investor_47",Series B,2629815.2,2014-08-05
Perry LLC,AgriTech,AgriTech Services,Hyderabad,"Investor_53, Investor_68, Investor_85",Series A,464758.97,2018-05-22
Dougherty-Salazar,AgriTech,AgriTech Services,Mumbai,"Investor_73, Investor_56",Series C,1214809.49,2008-01-26
"Hahn, Garcia and Jenkins",EdTech,EdTech Services,Pune,"Investor_26, Investor_66",Series A,1247805.1,2004-06-26
Dominguez-Romero,SaaS,SaaS Services,Hyderabad,Investor_27,Seed,2103156.84,2012-05-17
Sanchez Inc,E-Commerce,E-Commerce Services,Delhi,"Investor_47, Investor_21, Investor_11",Series D+,5032805.19,2019-02-21
Dunlap PLC,CleanTech,CleanTech Services,Chennai,Investor_63,Series C,12905957.48,2016-07-12
Delgado-Johnson,E-Commerce,E-Commerce Services,Kolkata,Investor_89,Series D+,4566858.42,2022-02-16
Gordon LLC,SaaS,SaaS Services,Hyderabad,Investor_73,Series D+,8222253.72,2011-01-16
"Nguyen, Hall and Thompson",CleanTech,CleanTech Services,Chennai,Investor_56,Pre-Seed,2717681.5,2005-02-21
"Moss, Smith and Obrien",EdTech,EdTech Services,Noida,"Investor_31, Investor_73, Investor_95",Series A,1307160.55,2010-12-15
"Johnson, Simmons and Butler",EdTech,EdTech Services,Bengaluru,Investor_63,Series A,1557178.97,2009-11-22
Sherman LLC,E-Commerce,E-Commerce Services,Hyderabad,Investor_42,Seed,1555403.46,2013-09-05
Peterson LLC,E-Commerce,E-Commerce Services,Bengaluru,"Investor_86, Investor_42, Investor_3",Series D+,449652.1,2022-03-08
Campbell and Sons,FinTech,FinTech Services,Kolkata,"Investor_77, Investor_28, Investor_63",Series A,177627.69,2007-11-15
Meyer and Sons,EdTech,EdTech Services,Noida,"Investor_22, Investor_18",Pre-Seed,532042.69,2017-10-06
"Evans, Hinton and Lewis",FinTech,FinTech Services,Chennai,"Investor_49, Investor_44, Investor_71",Series B,1307982.06,2013-10-26
Mann-Shelton,EdTech,EdTech Services,Delhi,"Investor_12, Investor_60",Series B,171148.91,2008-04-23
Robbins and Sons,HealthTech,HealthTech Services,Pune,"Investor_28, Investor_13, Investor_71",Series D+,60909.81,2007-09-18
"Reyes, Duncan and Smith",FinTech,FinTech Services,Mumbai,"Investor_71, Investor_14, Investor_53",Series A,3528129.77,2005-01-07
Mccullough-Santos,AgriTech,AgriTech Services,Gurgaon,"Investor_24, Investor_26",Series D+,8291703.8,2018-01-10
Perkins LLC,SaaS,SaaS Services,Kolkata,"Investor_9, Investor_83, Investor_14",Series A,4377546.33,2018-02-03
Gilbert Ltd,FinTech,FinTech Services,Bengaluru,"Investor_3, Investor_20, Investor_46",Pre-Seed,521953.12,2006-06-21
"Simon, Munoz and Steele",AgriTech,AgriTech Services,Hyderabad,"Investor_54, Investor_95, Investor_12",Series C,961750.98,2020-08-13
"Miller, Frank and Howell",EdTech,EdTech Services,Noida,"Investor_42, Investor_20",Series C,1124825.92,2015-10-05
"Sharp, Solis and Williams",FoodTech,FoodTech Services,Hyderabad,"Investor_71, Investor_47, Investor_64",Seed,1119041.48,2014-11-19
"Ferguson, Austin and Mack",FinTech,FinTech Services,Hyderabad,"Investor_7, Investor_80, Investor_13",Series D+,102749.08,2019-01-15
Thompson-Ayers,Logistics,Logistics Services,Mumbai,Investor_78,Pre-Seed,894536.58,2012-05-27
Ruiz-Jones,CleanTech,CleanTech Services,Chennai,"Investor_68, Investor_49, Investor_18",Series B,105843.1,2017-11-17
"Lopez, Mejia and Cohen",AI/ML,AI/ML Services,Gurgaon,"Investor_93, Investor_29",Seed,662835.0,2004-06-18
Williams Ltd,E-Commerce,E-Commerce Services,Bengaluru,"Investor_37, Investor_17, Investor_70",Series D+,34552521.99,2022-01-28
Knight and Sons,CleanTech,CleanTech Services,Ahmedabad,"Investor_53, Investor_99, Investor_23",Series B,14683186.41,2003-09-05
Sherman-Franklin,HealthTech,HealthTech Services,Gurgaon,"Investor_67, Investor_79",Pre-Seed,4677189.1,2005-04-01
Wolfe-Delgado,AI/ML,AI/ML Services,Noida,"Investor_18, Investor_7, Investor_55",Series D+,2667461.24,2008-09-15
Spencer-Norman,CleanTech,CleanTech Services,Pune,"Investor_68, Investor_28, Investor_81",Series D+,1138591.65,2015-07-01
Stevens-Davis,FoodTech,FoodTech Services,Delhi,"Investor_93, Investor_18, Investor_43",Pre-Seed,8774127.04,2021-11-16
"Moss, Aguilar and Taylor",AI/ML,AI/ML Services,Ahmedabad,"Investor_40, Investor_61",Series D+,7687766.01,2003-07-07
Lewis Group,AgriTech,AgriTech Services,Noida,"Investor_9, Investor_30",Pre-Seed,6405887.04,2017-11-15
Pratt PLC,E-Commerce,E-Commerce Services,Kolkata,"Investor_62, Investor_13, Investor_66",Series A,1941946.82,2008-07-26
Owens-Burgess,SaaS,SaaS Services,Pune,"Investor_43, Investor_90",Seed,184895.09,2013-05-25
"Villarreal, Dunlap and Evans",FinTech,FinTech Services,Mumbai,"Investor_50, Investor_23, Investor_88",Series D+,1969705.83,2022-03-20
Graves-Riggs,CleanTech,CleanTech Services,Gurgaon,"Investor_100, Investor_5",Pre-Seed,1185304.93,2019-01-15
"Hale, Smith and Reese",FinTech,FinTech Services,Delhi,"Investor_4, Investor_22, Investor_9",Series C,495793.65,2016-08-17
"Whitaker, Cuevas and Nolan",EdTech,EdTech Services,Noida,Investor_10,Pre-Seed,138168453.78,2012-04-12
Maldonado LLC,E-Commerce,E-Commerce Services,Delhi,Investor_89,Series B,817616.47,2004-06-08
Kelly-Medina,AgriTech,AgriTech Services,Mumbai,"Investor_97, Investor_20, Investor_49",Seed,36864.83,2021-06-19
Jarvis PLC,SaaS,SaaS Services,Chennai,"Investor_37, Investor_58, Investor_49",Series D+,279752.11,2015-09-22
Joseph-Anderson,CleanTech,CleanTech Services,Bengaluru,"Investor_7, Investor_59",Pre-Seed,9685907.31,2013-12-18
"House, Hawkins and Johnson",AgriTech,AgriTech Services,Gurgaon,"Investor_45, Investor_20",Seed,251983.95,2004-10-05
"Martin, Hood and Washington",Logistics,Logistics Services,Bengaluru,Investor_85,Pre-Seed,13429088.45,2003-02-26
Davis-Brown,FoodTech,FoodTech Services,Pune,Investor_36,Pre-Seed,620053.56,2019-12-19
"Edwards, Gordon and Barnes",AgriTech,AgriTech Services,Bengaluru,Investor_82,Pre-Seed,8307740.24,2012-07-03
Becker-Stafford,AI/ML,AI/ML Services,Delhi,Investor_32,Series C,4479114.85,2007-05-16
Mclean LLC,Logistics,Logistics Services,Bengaluru,"Investor_60, Investor_92",Seed,1430486.64,2006-11-21
Bryant-Scott,EdTech,EdTech Services,Delhi,"Investor_62, Investor_9",Series B,462470.15,2010-12-02
Berger-Lyons,Logistics,Logistics Services,Chennai,Investor_17,Series A,297279.96,2006-12-26
Peterson PLC,AgriTech,AgriTech Services,Mumbai,"Investor_100, Investor_92, Investor_71",Pre-Seed,485998.96,2021-04-15
Taylor Inc,AI/ML,AI/ML Services,Hyderabad,"Investor_44, Investor_64, Investor_77",Series A,182168.21,2013-12-05
"Wilson, Miller and Adams",FinTech,FinTech Services,Gurgaon,"Investor_60, Investor_87",Series B,645945.24,2006-06-20
"Smith, Campbell and Collins",AgriTech,AgriTech Services,Gurgaon,Investor_77,Series A,2724051.67,2017-01-06
Holland Group,EdTech,EdTech Services,Bengaluru,"Investor_94, Investor_100, Investor_53",Series B,1809249.0,2019-06-09
Fry-Chen,E-Commerce,E-Commerce Services,Mumbai,"Investor_54, Investor_87",Series B,626228.93,2008-01-22
Riggs LLC,AgriTech,AgriTech Services,Delhi,"Investor_3, Investor_60, Investor_57",Series B,720893.54,2012-09-11
Peck LLC,FinTech,FinTech Services,Hyderabad,"Investor_38, Investor_36",Series B,1463248.32,2022-12-24
Ochoa-Fuentes,CleanTech,CleanTech Services,Hyderabad,Investor_53,Series B,1387369.46,2016-03-17
"Johnson, Wood and Hill",FinTech,FinTech Services,Chennai,"Investor_90, Investor_25",Seed,1402373.18,2005-07-28
"Bullock, Harris and Gilbert",Logistics,Logistics Services,Kolkata,Investor_55,Series A,1032226.0,2012-02-16
Martin-Stevens,Logistics,Logistics Services,Delhi,"Investor_78, Investor_17",Pre-Seed,1245969.49,2013-05-09
King-Mccall,SaaS,SaaS Services,Noida,"Investor_43, Investor_46, Investor_23",Series A,4280674.58,2016-07-16
Peterson-Watkins,EdTech,EdTech Services,Delhi,Investor_27,Seed,2246361.07,2013-12-28
Palmer Ltd,EdTech,EdTech Services,Mumbai,"Investor_31, Investor_72",Series D+,1520973.16,2011-06-05
"Fernandez, Johnson and Christian",FinTech,FinTech Services,Hyderabad,"Investor_47, Investor_20",Pre-Seed,12216080.92,2021-12-28
Tucker-Moore,FoodTech,FoodTech Services,Gurgaon,"Investor_33, Investor_12",Pre-Seed,4989519.07,2006-11-12
Rice Group,AgriTech,AgriTech Services,Ahmedabad,"Investor_21, Investor_27, Investor_85",Pre-Seed,402012.41,2018-06-15
"Henderson, Mercado and Martinez",CleanTech,CleanTech Services,Chennai,"Investor_57, Investor_9",Series D+,3948386.18,2022-07-28
Barrett Ltd,CleanTech,CleanTech Services,Noida,"Investor_89, Investor_90, Investor_83",Series C,1145783.9,2009-08-03
"Castillo, Jordan and Ramirez",E-Commerce,E-Commerce Services,Noida,"Investor_19, Investor_14",Series B,3439342.71,2004-04-21
Norman LLC,AI/ML,AI/ML Services,Mumbai,"Investor_82, Investor_5, Investor_57",Series B,3065570.95,2020-09-18
"Wilson, Stevens and Campbell",FinTech,FinTech Services,Noida,"Investor_88, Investor_40",Series A,68388.58,2013-09-04
Moreno and Sons,SaaS,SaaS Services,Mumbai,"Investor_70, Investor_60, Investor_17",Series D+,5547744.27,2003-11-26
"Marsh, Smith and Smith",AI/ML,AI/ML Services,Ahmedabad,Investor_100,Seed,1023074.54,2014-11-11
